description,industry,level,size,line_code,value,standard
Percentage of staff with internet access: 51-75%,"Agriculture, forestry, & fishing",1,total,B0300.03,270,Low
Percentage of staff with internet access: 51-75%,Agriculture,2,total,B0300.03,207,Low
Percentage of staff with internet access: 51-75%,Commercial fishing,2,total,B0300.03,6,Low
Percentage of staff with internet access: 51-75%,Forestry & logging,2,total,B0300.03,6,Low
Percentage of staff with internet access: 51-75%,"Agriculture, forestry, & fishing support services",2,total,B0300.03,51,Low
Percentage of staff with internet access: 51-75%,Mining,1,total,B0300.03,15,Low
Percentage of staff with internet access: 51-75%,Manufacturing,1,total,B0300.03,630,Low
Percentage of staff with internet access: 51-75%,"Food, beverage, & tobacco",2,total,B0300.03,165,Low
Percentage of staff with internet access: 51-75%,"Textile, clothing, footwear, & leather",2,total,B0300.03,21,Low
Percentage of staff with internet access: 51-75%,Wood & paper product,2,total,B0300.03,63,Low
Percentage of staff with internet access: 51-75%,"Printing, publishing, & recorded media",2,total,B0300.03,27,Low
Percentage of staff with internet access: 51-75%,"Petroleum, coal, chemical, & associated product",2,total,B0300.03,51,Low
Percentage of staff with internet access: 51-75%,Non-metallic mineral product,2,total,B0300.03,21,Low
Percentage of staff with internet access: 51-75%,Metal product,2,total,B0300.03,60,Low
Percentage of staff with internet access: 51-75%,Transport and industrial machinery & equipment,2,total,B0300.03,123,Low
Percentage of staff with internet access: 51-75%,Other machinery & equipment,2,total,B0300.03,33,Low
Percentage of staff with internet access: 51-75%,Other manufacturing,2,total,B0300.03,63,Low
Percentage of staff with internet access: 51-75%,"Electricity, gas, water, & waste services",1,total,B0300.03,15,Low
Percentage of staff with internet access: 51-75%,Construction,1,total,B0300.03,504,Low
Percentage of staff with internet access: 51-75%,Wholesale trade,1,total,B0300.03,198,Low
Percentage of staff with internet access: 51-75%,Machinery & equipment wholesaling,2,total,B0300.03,21,Low
Percentage of staff with internet access: 51-75%,Other wholesale trade,2,total,B0300.03,177,Low
Percentage of staff with internet access: 51-75%,Retail trade,1,total,B0300.03,186,Low
Percentage of staff with internet access: 51-75%,Accommodation & food services,1,total,B0300.03,393,Low
Percentage of staff with internet access: 51-75%,"Transport, postal, & warehousing",1,total,B0300.03,105,Low
Percentage of staff with internet access: 51-75%,Information media & telecommunications,1,total,B0300.03,3,Low
Percentage of staff with internet access: 51-75%,Publishing,2,total,B0300.03,0,Low
Percentage of staff with internet access: 51-75%,Motion picture,2,total,B0300.03,0,Low
Percentage of staff with internet access: 51-75%,Telecommunications,2,total,B0300.03,0,Low
Percentage of staff with internet access: 51-75%,Financial & insurance services,1,total,B0300.03,3,Low
Percentage of staff with internet access: 51-75%,Finance,2,total,B0300.03,3,Low
Percentage of staff with internet access: 51-75%,Insurance,2,total,B0300.03,0,Low
Percentage of staff with internet access: 51-75%,Auxiliary,2,total,B0300.03,0,Low
Percentage of staff with internet access: 51-75%,"Rental, hiring, & real estate services",1,total,B0300.03,21,Low
Percentage of staff with internet access: 51-75%,"Professional, scientific, & technical services",1,total,B0300.03,33,Low
Percentage of staff with internet access: 51-75%,Computer systems design,2,total,B0300.03,3,Low
Percentage of staff with internet access: 51-75%,Other professional scientific,2,total,B0300.03,30,Low
Percentage of staff with internet access: 51-75%,Administrative & support services,1,total,B0300.03,132,Low
Percentage of staff with internet access: 51-75%,Education & training,1,total,B0300.03,39,Low
Percentage of staff with internet access: 51-75%,Health care & social assistance,1,total,B0300.03,102,Low
Percentage of staff with internet access: 51-75%,Arts & recreation services,1,total,B0300.03,45,Low
Percentage of staff with internet access: 51-75%,Other services,1,total,B0300.03,75,Low
Percentage of staff with internet access: 51-75%,total,0,total,B0300.03,2775,High
Percentage of staff with internet access: 76-99%,total,0,6–19 employees,B0300.04,2733,High
Percentage of staff with internet access: 76-99%,total,0,20–49 employees,B0300.04,1119,High
Percentage of staff with internet access: 76-99%,total,0,50–99 employees,B0300.04,384,Low
Percentage of staff with internet access: 76-99%,total,0,100+ employees,B0300.04,414,Low
Percentage of staff with internet access: 76-99%,"Agriculture, forestry, & fishing",1,total,B0300.04,360,Low
Percentage of staff with internet access: 76-99%,Agriculture,2,total,B0300.04,243,Low
Percentage of staff with internet access: 76-99%,Commercial fishing,2,total,B0300.04,3,Low
Percentage of staff with internet access: 76-99%,Forestry & logging,2,total,B0300.04,33,Low
Percentage of staff with internet access: 76-99%,"Agriculture, forestry, & fishing support services",2,total,B0300.04,81,Low
Percentage of staff with internet access: 76-99%,Mining,1,total,B0300.04,15,Low
Percentage of staff with internet access: 76-99%,Manufacturing,1,total,B0300.04,753,Low
