description,industry,level,size,line_code,value,standard 
Type of cloud computing purchased: remote data or file storage,"Electricity, gas, water, & waste services",1,total,B1606,75,Low
Type of cloud computing purchased: remote data or file storage,Construction,1,total,B1606,2079,High
Type of cloud computing purchased: remote data or file storage,Wholesale trade,1,total,B1606,984,Low
Type of cloud computing purchased: remote data or file storage,Machinery & equipment wholesaling,2,total,B1606,282,Low
Type of cloud computing purchased: remote data or file storage,Other wholesale trade,2,total,B1606,702,Low
Type of cloud computing purchased: remote data or file storage,Retail trade,1,total,B1606,1347,High
Type of cloud computing purchased: remote data or file storage,Accommodation & food services,1,total,B1606,909,Low
Type of cloud computing purchased: remote data or file storage,"Transport, postal, & warehousing",1,total,B1606,471,Low
Type of cloud computing purchased: remote data or file storage,Information media & telecommunications,1,total,B1606,231,Low
Type of cloud computing purchased: remote data or file storage,Publishing,2,total,B1606,96,Low
Type of cloud computing purchased: remote data or file storage,Motion picture,2,total,B1606,69,Low
Type of cloud computing purchased: remote data or file storage,Telecommunications,2,total,B1606,63,Low
Type of cloud computing purchased: remote data or file storage,Financial & insurance services,1,total,B1606,378,Low
Type of cloud computing purchased: remote data or file storage,Finance,2,total,B1606,105,Low
Type of cloud computing purchased: remote data or file storage,Insurance,2,total,B1606,18,Low
Type of cloud computing purchased: remote data or file storage,Auxiliary,2,total,B1606,255,Low
Type of cloud computing purchased: remote data or file storage,"Rental, hiring, & real estate services",1,total,B1606,447,Low
Type of cloud computing purchased: remote data or file storage,"Professional, scientific, & technical services",1,total,B1606,2418,High
Type of cloud computing purchased: remote data or file storage,Computer systems design,2,total,B1606,603,Low
Type of cloud computing purchased: remote data or file storage,Other professional scientific,2,total,B1606,1818,High
Type of cloud computing purchased: remote data or file storage,Administrative & support services,1,total,B1606,615,Low
Type of cloud computing purchased: remote data or file storage,Education & training,1,total,B1606,360,Low
Type of cloud computing purchased: remote data or file storage,Health care & social assistance,1,total,B1606,963,Low
Type of cloud computing purchased: remote data or file storage,Arts & recreation services,1,total,B1606,129,Low
Type of cloud computing purchased: remote data or file storage,Other services,1,total,B1606,375,Low
Type of cloud computing purchased: remote data or file storage,total,0,total,B1606,14286,High
Type of cloud computing purchased: computing power to run the business's own software,total,0,6–19 employees,B1607,2085,High
Type of cloud computing purchased: computing power to run the business's own software,total,0,20–49 employees,B1607,780,Low
Type of cloud computing purchased: computing power to run the business's own software,total,0,50–99 employees,B1607,330,Low
Type of cloud computing purchased: computing power to run the business's own software,total,0,100+ employees,B1607,444,Low
Type of cloud computing purchased: computing power to run the business's own software,"Agriculture, forestry, & fishing",1,total,B1607,96,Low
Type of cloud computing purchased: computing power to run the business's own software,Agriculture,2,total,B1607,69,Low
Type of cloud computing purchased: computing power to run the business's own software,Commercial fishing,2,total,B1607,0,Low
Type of cloud computing purchased: computing power to run the business's own software,Forestry & logging,2,total,B1607,6,Low
Type of cloud computing purchased: computing power to run the business's own software,"Agriculture, forestry, & fishing support services",2,total,B1607,21,Low
Type of cloud computing purchased: computing power to run the business's own software,Mining,1,total,B1607,12,Low
Type of cloud computing purchased: computing power to run the business's own software,Manufacturing,1,total,B1607,375,Low
Type of cloud computing purchased: computing power to run the business's own software,"Food, beverage, & tobacco",2,total,B1607,60,Low
Type of cloud computing purchased: computing power to run the business's own software,"Textile, clothing, footwear, & leather",2,total,B1607,18,Low
Type of cloud computing purchased: computing power to run the business's own software,Wood & paper product,2,total,B1607,51,Low
Type of cloud computing purchased: computing power to run the business's own software,"Printing, publishing, & recorded media",2,total,B1607,12,Low
Type of cloud computing purchased: computing power to run the business's own software,"Petroleum, coal, chemical, & associated product",2,total,B1607,30,Low
Type of cloud computing purchased: computing power to run the business's own software,Non-metallic mineral product,2,total,B1607,18,Low
Type of cloud computing purchased: computing power to run the business's own software,Metal product,2,total,B1607,66,Low
Type of cloud computing purchased: computing power to run the business's own software,Transport and industrial machinery & equipment,2,total,B1607,54,Low
Type of cloud computing purchased: computing power to run the business's own software,Other machinery & equipment,2,total,B1607,27,Low
Type of cloud computing purchased: computing power to run the business's own software,Other manufacturing,2,total,B1607,36,Low
Type of cloud computing purchased: computing power to run the business's own software,"Electricity, gas, water, & waste services",1,total,B1607,24,Low
Type of cloud computing purchased: computing power to run the business's own software,Construction,1,total,B1607,339,Low
Type of cloud computing purchased: computing power to run the business's own software,Wholesale trade,1,total,B1607,201,Low
Type of cloud computing purchased: computing power to run the business's own software,Machinery & equipment wholesaling,2,total,B1607,87,Low
Type of cloud computing purchased: computing power to run the business's own software,Other wholesale trade,2,total,B1607,111,Low
Type of cloud computing purchased: computing power to run the business's own software,Retail trade,1,total,B1607,303,Low
Type of cloud computing purchased: computing power to run the business's own software,Accommodation & food services,1,total,B1607,219,Low
Type of cloud computing purchased: computing power to run the business's own software,"Transport, postal, & warehousing",1,total,B1607,90,Low
Type of cloud computing purchased: computing power to run the business's own software,Information media & telecommunications,1,total,B1607,123,Low
Type of cloud computing purchased: computing power to run the business's own software,Publishing,2,total,B1607,51,Low
Type of cloud computing purchased: computing power to run the business's own software,Motion picture,2,total,B1607,24,Low
Type of cloud computing purchased: computing power to run the business's own software,Telecommunications,2,total,B1607,45,Low
Type of cloud computing purchased: computing power to run the business's own software,Financial & insurance services,1,total,B1607,144,Low
Type of cloud computing purchased: computing power to run the business's own software,Finance,2,total,B1607,42,Low
Type of cloud computing purchased: computing power to run the business's own software,Insurance,2,total,B1607,15,Low
Type of cloud computing purchased: computing power to run the business's own software,Auxiliary,2,total,B1607,90,Low
Type of cloud computing purchased: computing power to run the business's own software,"Rental, hiring, & real estate services",1,total,B1607,144,Low
Type of cloud computing purchased: computing power to run the business's own software,"Professional, scientific, & technical services",1,total,B1607,1038,High
Type of cloud computing purchased: computing power to run the business's own software,Computer systems design,2,total,B1607,384,Low
Type of cloud computing purchased: computing power to run the business's own software,Other professional scientific,2,total,B1607,657,Low
Type of cloud computing purchased: computing power to run the business's own software,Administrative & support services,1,total,B1607,111,Low
Type of cloud computing purchased: computing power to run the business's own software,Education & training,1,total,B1607,42,Low
Type of cloud computing purchased: computing power to run the business's own software,Health care & social assistance,1,total,B1607,246,Low
Type of cloud computing purchased: computing power to run the business's own software,Arts & recreation services,1,total,B1607,18,Low
Type of cloud computing purchased: computing power to run the business's own software,Other services,1,total,B1607,114,Low
Type of cloud computing purchased: computing power to run the business's own software,total,0,total,B1607,3642,High
"Type of cloud computing purchased: hosted environment for application development, testing or deployment",total,0,6–19 employees,B1608,1818,High
"Type of cloud computing purchased: hosted environment for application development, testing or deployment",total,0,20–49 employees,B1608,771,Low
"Type of cloud computing purchased: hosted environment for application development, testing or deployment",total,0,50–99 employees,B1608,369,Low
"Type of cloud computing purchased: hosted environment for application development, testing or deployment",total,0,100+ employees,B1608,513,Low
"Type of cloud computing purchased: hosted environment for application development, testing or deployment","Agriculture, forestry, & fishing",1,total,B1608,39,Low
"Type of cloud computing purchased: hosted environment for application development, testing or deployment",Agriculture,2,total,B1608,15,Low
"Type of cloud computing purchased: hosted environment for application development, testing or deployment",Commercial fishing,2,total,B1608,3,Low
"Type of cloud computing purchased: hosted environment for application development, testing or deployment",Forestry & logging,2,total,B1608,6,Low
"Type of cloud computing purchased: hosted environment for application development, testing or deployment","Agriculture, forestry, & fishing support services",2,total,B1608,21,Low
"Type of cloud computing purchased: hosted environment for application development, testing or deployment",Mining,1,total,B1608,9,Low
"Type of cloud computing purchased: hosted environment for application development, testing or deployment",Manufacturing,1,total,B1608,315,Low
"Type of cloud computing purchased: hosted environment for application development, testing or deployment","Food, beverage, & tobacco",2,total,B1608,84,Low
"Type of cloud computing purchased: hosted environment for application development, testing or deployment","Textile, clothing, footwear, & leather",2,total,B1608,6,Low
"Type of cloud computing purchased: hosted environment for application development, testing or deployment",Wood & paper product,2,total,B1608,30,Low
"Type of cloud computing purchased: hosted environment for application development, testing or deployment","Printing, publishing, & recorded media",2,total,B1608,6,Low
"Type of cloud computing purchased: hosted environment for application development, testing or deployment","Petroleum, coal, chemical, & associated product",2,total,B1608,12,Low
"Type of cloud computing purchased: hosted environment for application development, testing or deployment",Non-metallic mineral product,2,total,B1608,12,Low
"Type of cloud computing purchased: hosted environment for application development, testing or deployment",Metal product,2,total,B1608,36,Low
"Type of cloud computing purchased: hosted environment for application development, testing or deployment",Transport and industrial machinery & equipment,2,total,B1608,51,Low
"Type of cloud computing purchased: hosted environment for application development, testing or deployment",Other machinery & equipment,2,total,B1608,57,Low
"Type of cloud computing purchased: hosted environment for application development, testing or deployment",Other manufacturing,2,total,B1608,18,Low
"Type of cloud computing purchased: hosted environment for application development, testing or deployment","Electricity, gas, water, & waste services",1,total,B1608,27,Low
"Type of cloud computing purchased: hosted environment for application development, testing or deployment",Construction,1,total,B1608,195,Low
"Type of cloud computing purchased: hosted environment for application development, testing or deployment",Wholesale trade,1,total,B1608,192,Low
"Type of cloud computing purchased: hosted environment for application development, testing or deployment",Machinery & equipment wholesaling,2,total,B1608,81,Low
"Type of cloud computing purchased: hosted environment for application development, testing or deployment",Other wholesale trade,2,total,B1608,108,Low
"Type of cloud computing purchased: hosted environment for application development, testing or deployment",Retail trade,1,total,B1608,369,Low
"Type of cloud computing purchased: hosted environment for application development, testing or deployment",Accommodation & food services,1,total,B1608,174,Low
"Type of cloud computing purchased: hosted environment for application development, testing or deployment","Transport, postal, & warehousing",1,total,B1608,123,Low
"Type of cloud computing purchased: hosted environment for application development, testing or deployment",Information media & telecommunications,1,total,B1608,138,Low
"Type of cloud computing purchased: hosted environment for application development, testing or deployment",Publishing,2,total,B1608,54,Low
"Type of cloud computing purchased: hosted environment for application development, testing or deployment",Motion picture,2,total,B1608,24,Low
"Type of cloud computing purchased: hosted environment for application development, testing or deployment",Telecommunications,2,total,B1608,57,Low
"Type of cloud computing purchased: hosted environment for application development, testing or deployment",Financial & insurance services,1,total,B1608,168,Low
"Type of cloud computing purchased: hosted environment for application development, testing or deployment",Finance,2,total,B1608,54,Low
"Type of cloud computing purchased: hosted environment for application development, testing or deployment",Insurance,2,total,B1608,15,Low
"Type of cloud computing purchased: hosted environment for application development, testing or deployment",Auxiliary,2,total,B1608,99,Low
"Type of cloud computing purchased: hosted environment for application development, testing or deployment","Rental, hiring, & real estate services",1,total,B1608,90,Low
"Type of cloud computing purchased: hosted environment for application development, testing or deployment","Professional, scientific, & technical services",1,total,B1608,1182,High
"Type of cloud computing purchased: hosted environment for application development, testing or deployment",Computer systems design,2,total,B1608,543,Low
"Type of cloud computing purchased: hosted environment for application development, testing or deployment",Other professional scientific,2,total,B1608,642,Low
"Type of cloud computing purchased: hosted environment for application development, testing or deployment",Administrative & support services,1,total,B1608,153,Low
"Type of cloud computing purchased: hosted environment for application development, testing or deployment",Education & training,1,total,B1608,102,Low
"Type of cloud computing purchased: hosted environment for application development, testing or deployment",Health care & social assistance,1,total,B1608,159,Low
"Type of cloud computing purchased: hosted environment for application development, testing or deployment",Arts & recreation services,1,total,B1608,15,Low
"Type of cloud computing purchased: hosted environment for application development, testing or deployment",Other services,1,total,B1608,18,Low
"Type of cloud computing purchased: hosted environment for application development, testing or deployment",total,0,total,B1608,3474,High
Type of cloud computing purchased: other services,total,0,6–19 employees,B1609,477,Low
Type of cloud computing purchased: other services,total,0,20–49 employees,B1609,156,Low
Type of cloud computing purchased: other services,total,0,50–99 employees,B1609,54,Low
Type of cloud computing purchased: other services,total,0,100+ employees,B1609,48,Low
Type of cloud computing purchased: other services,"Agriculture, forestry, & fishing",1,total,B1609,42,Low
Type of cloud computing purchased: other services,Agriculture,2,total,B1609,27,Low
Type of cloud computing purchased: other services,Commercial fishing,2,total,B1609,0,Low
Type of cloud computing purchased: other services,Forestry & logging,2,total,B1609,0,Low
Type of cloud computing purchased: other services,"Agriculture, forestry, & fishing support services",2,total,B1609,15,Low
Type of cloud computing purchased: other services,Mining,1,total,B1609,3,Low
Type of cloud computing purchased: other services,Manufacturing,1,total,B1609,57,Low
Type of cloud computing purchased: other services,"Food, beverage, & tobacco",2,total,B1609,15,Low
Type of cloud computing purchased: other services,"Textile, clothing, footwear, & leather",2,total,B1609,0,Low
Type of cloud computing purchased: other services,Wood & paper product,2,total,B1609,6,Low
Type of cloud computing purchased: other services,"Printing, publishing, & recorded media",2,total,B1609,9,Low
Type of cloud computing purchased: other services,"Petroleum, coal, chemical, & associated product",2,total,B1609,12,Low
Type of cloud computing purchased: other services,Non-metallic mineral product,2,total,B1609,0,Low
Type of cloud computing purchased: other services,Metal product,2,total,B1609,12,Low
Type of cloud computing purchased: other services,Transport and industrial machinery & equipment,2,total,B1609,3,Low
Type of cloud computing purchased: other services,Other machinery & equipment,2,total,B1609,0,Low
Type of cloud computing purchased: other services,Other manufacturing,2,total,B1609,0,Low
Type of cloud computing purchased: other services,"Electricity, gas, water, & waste services",1,total,B1609,9,Low
Type of cloud computing purchased: other services,Construction,1,total,B1609,111,Low
Type of cloud computing purchased: other services,Wholesale trade,1,total,B1609,69,Low
Type of cloud computing purchased: other services,Machinery & equipment wholesaling,2,total,B1609,9,Low
Type of cloud computing purchased: other services,Other wholesale trade,2,total,B1609,57,Low
Type of cloud computing purchased: other services,Retail trade,1,total,B1609,120,Low
Type of cloud computing purchased: other services,Accommodation & food services,1,total,B1609,9,Low
Type of cloud computing purchased: other services,"Transport, postal, & warehousing",1,total,B1609,27,Low
Type of cloud computing purchased: other services,Information media & telecommunications,1,total,B1609,12,Low
Type of cloud computing purchased: other services,Publishing,2,total,B1609,3,Low
Type of cloud computing purchased: other services,Motion picture,2,total,B1609,6,Low
Type of cloud computing purchased: other services,Telecommunications,2,total,B1609,3,Low
Type of cloud computing purchased: other services,Financial & insurance services,1,total,B1609,6,Low
Type of cloud computing purchased: other services,Finance,2,total,B1609,3,Low
Type of cloud computing purchased: other services,Insurance,2,total,B1609,3,Low
Type of cloud computing purchased: other services,Auxiliary,2,total,B1609,3,Low
Type of cloud computing purchased: other services,"Rental, hiring, & real estate services",1,total,B1609,30,Low
Type of cloud computing purchased: other services,"Professional, scientific, & technical services",1,total,B1609,99,Low
Type of cloud computing purchased: other services,Computer systems design,2,total,B1609,33,Low
Type of cloud computing purchased: other services,Other professional scientific,2,total,B1609,69,Low
Type of cloud computing purchased: other services,Administrative & support services,1,total,B1609,36,Low
Type of cloud computing purchased: other services,Education & training,1,total,B1609,6,Low
Type of cloud computing purchased: other services,Health care & social assistance,1,total,B1609,63,Low
Type of cloud computing purchased: other services,Arts & recreation services,1,total,B1609,0,Low
Type of cloud computing purchased: other services,Other services,1,total,B1609,33,Low
Type of cloud computing purchased: other services,total,0,total,B1609,738,Low
Factors that limit or prevent the business's use of paid cloud computing services: risk of security breach,total,0,6–19 employees,B1701,3927,High
Factors that limit or prevent the business's use of paid cloud computing services: risk of security breach,total,0,20–49 employees,B1701,1092,High
Factors that limit or prevent the business's use of paid cloud computing services: risk of security breach,total,0,50–99 employees,B1701,456,Low
Factors that limit or prevent the business's use of paid cloud computing services: risk of security breach,total,0,100+ employees,B1701,393,Low
Factors that limit or prevent the business's use of paid cloud computing services: risk of security breach,"Agriculture, forestry, & fishing",1,total,B1701,246,Low
Factors that limit or prevent the business's use of paid cloud computing services: risk of security breach,Agriculture,2,total,B1701,150,Low
Factors that limit or prevent the business's use of paid cloud computing services: risk of security breach,Commercial fishing,2,total,B1701,3,Low
Factors that limit or prevent the business's use of paid cloud computing services: risk of security breach,Forestry & logging,2,total,B1701,9,Low
Factors that limit or prevent the business's use of paid cloud computing services: risk of security breach,"Agriculture, forestry, & fishing support services",2,total,B1701,84,Low
Factors that limit or prevent the business's use of paid cloud computing services: risk of security breach,Mining,1,total,B1701,21,Low
Factors that limit or prevent the business's use of paid cloud computing services: risk of security breach,Manufacturing,1,total,B1701,738,Low
Factors that limit or prevent the business's use of paid cloud computing services: risk of security breach,"Food, beverage, & tobacco",2,total,B1701,177,Low
Factors that limit or prevent the business's use of paid cloud computing services: risk of security breach,"Textile, clothing, footwear, & leather",2,total,B1701,24,Low
Factors that limit or prevent the business's use of paid cloud computing services: risk of security breach,Wood & paper product,2,total,B1701,66,Low
Factors that limit or prevent the business's use of paid cloud computing services: risk of security breach,"Printing, publishing, & recorded media",2,total,B1701,27,Low
Factors that limit or prevent the business's use of paid cloud computing services: risk of security breach,"Petroleum, coal, chemical, & associated product",2,total,B1701,54,Low
Factors that limit or prevent the business's use of paid cloud computing services: risk of security breach,Non-metallic mineral product,2,total,B1701,33,Low
Factors that limit or prevent the business's use of paid cloud computing services: risk of security breach,Metal product,2,total,B1701,129,Low
Factors that limit or prevent the business's use of paid cloud computing services: risk of security breach,Transport and industrial machinery & equipment,2,total,B1701,123,Low
Factors that limit or prevent the business's use of paid cloud computing services: risk of security breach,Other machinery & equipment,2,total,B1701,45,Low
Factors that limit or prevent the business's use of paid cloud computing services: risk of security breach,Other manufacturing,2,total,B1701,60,Low
Factors that limit or prevent the business's use of paid cloud computing services: risk of security breach,"Electricity, gas, water, & waste services",1,total,B1701,36,Low
Factors that limit or prevent the business's use of paid cloud computing services: risk of security breach,Construction,1,total,B1701,777,Low
Factors that limit or prevent the business's use of paid cloud computing services: risk of security breach,Wholesale trade,1,total,B1701,489,Low
Factors that limit or prevent the business's use of paid cloud computing services: risk of security breach,Machinery & equipment wholesaling,2,total,B1701,192,Low
Factors that limit or prevent the business's use of paid cloud computing services: risk of security breach,Other wholesale trade,2,total,B1701,297,Low
Factors that limit or prevent the business's use of paid cloud computing services: risk of security breach,Retail trade,1,total,B1701,627,Low
Factors that limit or prevent the business's use of paid cloud computing services: risk of security breach,Accommodation & food services,1,total,B1701,576,Low
Factors that limit or prevent the business's use of paid cloud computing services: risk of security breach,"Transport, postal, & warehousing",1,total,B1701,210,Low
Factors that limit or prevent the business's use of paid cloud computing services: risk of security breach,Information media & telecommunications,1,total,B1701,66,Low
Factors that limit or prevent the business's use of paid cloud computing services: risk of security breach,Publishing,2,total,B1701,21,Low
Factors that limit or prevent the business's use of paid cloud computing services: risk of security breach,Motion picture,2,total,B1701,21,Low
Factors that limit or prevent the business's use of paid cloud computing services: risk of security breach,Telecommunications,2,total,B1701,21,Low
Factors that limit or prevent the business's use of paid cloud computing services: risk of security breach,Financial & insurance services,1,total,B1701,123,Low
Factors that limit or prevent the business's use of paid cloud computing services: risk of security breach,Finance,2,total,B1701,48,Low
Factors that limit or prevent the business's use of paid cloud computing services: risk of security breach,Insurance,2,total,B1701,6,Low
Factors that limit or prevent the business's use of paid cloud computing services: risk of security breach,Auxiliary,2,total,B1701,72,Low
Factors that limit or prevent the business's use of paid cloud computing services: risk of security breach,"Rental, hiring, & real estate services",1,total,B1701,144,Low
Factors that limit or prevent the business's use of paid cloud computing services: risk of security breach,"Professional, scientific, & technical services",1,total,B1701,795,Low
Factors that limit or prevent the business's use of paid cloud computing services: risk of security breach,Computer systems design,2,total,B1701,126,Low
Factors that limit or prevent the business's use of paid cloud computing services: risk of security breach,Other professional scientific,2,total,B1701,672,Low
Factors that limit or prevent the business's use of paid cloud computing services: risk of security breach,Administrative & support services,1,total,B1701,156,Low
Factors that limit or prevent the business's use of paid cloud computing services: risk of security breach,Education & training,1,total,B1701,111,Low
Factors that limit or prevent the business's use of paid cloud computing services: risk of security breach,Health care & social assistance,1,total,B1701,474,Low
Factors that limit or prevent the business's use of paid cloud computing services: risk of security breach,Arts & recreation services,1,total,B1701,54,Low
Factors that limit or prevent the business's use of paid cloud computing services: risk of security breach,Other services,1,total,B1701,219,Low
Factors that limit or prevent the business's use of paid cloud computing services: risk of security breach,total,0,total,B1701,5868,High
Factors that limit or prevent the business's use of paid cloud computing services: problems accessing data or software,total,0,6–19 employees,B1702,1704,High
Factors that limit or prevent the business's use of paid cloud computing services: problems accessing data or software,total,0,20–49 employees,B1702,531,Low
Factors that limit or prevent the business's use of paid cloud computing services: problems accessing data or software,total,0,50–99 employees,B1702,204,Low
Factors that limit or prevent the business's use of paid cloud computing services: problems accessing data or software,total,0,100+ employees,B1702,177,Low
Factors that limit or prevent the business's use of paid cloud computing services: problems accessing data or software,"Agriculture, forestry, & fishing",1,total,B1702,261,Low
Factors that limit or prevent the business's use of paid cloud computing services: problems accessing data or software,Agriculture,2,total,B1702,180,Low
Factors that limit or prevent the business's use of paid cloud computing services: problems accessing data or software,Commercial fishing,2,total,B1702,3,Low
Factors that limit or prevent the business's use of paid cloud computing services: problems accessing data or software,Forestry & logging,2,total,B1702,9,Low
Factors that limit or prevent the business's use of paid cloud computing services: problems accessing data or software,"Agriculture, forestry, & fishing support services",2,total,B1702,72,Low
Factors that limit or prevent the business's use of paid cloud computing services: problems accessing data or software,Mining,1,total,B1702,12,Low
Factors that limit or prevent the business's use of paid cloud computing services: problems accessing data or software,Manufacturing,1,total,B1702,303,Low
Factors that limit or prevent the business's use of paid cloud computing services: problems accessing data or software,"Food, beverage, & tobacco",2,total,B1702,36,Low
Factors that limit or prevent the business's use of paid cloud computing services: problems accessing data or software,"Textile, clothing, footwear, & leather",2,total,B1702,15,Low
Factors that limit or prevent the business's use of paid cloud computing services: problems accessing data or software,Wood & paper product,2,total,B1702,30,Low
Factors that limit or prevent the business's use of paid cloud computing services: problems accessing data or software,"Printing, publishing, & recorded media",2,total,B1702,27,Low
Factors that limit or prevent the business's use of paid cloud computing services: problems accessing data or software,"Petroleum, coal, chemical, & associated product",2,total,B1702,21,Low
Factors that limit or prevent the business's use of paid cloud computing services: problems accessing data or software,Non-metallic mineral product,2,total,B1702,18,Low
Factors that limit or prevent the business's use of paid cloud computing services: problems accessing data or software,Metal product,2,total,B1702,69,Low
Factors that limit or prevent the business's use of paid cloud computing services: problems accessing data or software,Transport and industrial machinery & equipment,2,total,B1702,57,Low
Factors that limit or prevent the business's use of paid cloud computing services: problems accessing data or software,Other machinery & equipment,2,total,B1702,12,Low
Factors that limit or prevent the business's use of paid cloud computing services: problems accessing data or software,Other manufacturing,2,total,B1702,21,Low
Factors that limit or prevent the business's use of paid cloud computing services: problems accessing data or software,"Electricity, gas, water, & waste services",1,total,B1702,18,Low
Factors that limit or prevent the business's use of paid cloud computing services: problems accessing data or software,Construction,1,total,B1702,402,Low
Factors that limit or prevent the business's use of paid cloud computing services: problems accessing data or software,Wholesale trade,1,total,B1702,207,Low
Factors that limit or prevent the business's use of paid cloud computing services: problems accessing data or software,Machinery & equipment wholesaling,2,total,B1702,63,Low
Factors that limit or prevent the business's use of paid cloud computing services: problems accessing data or software,Other wholesale trade,2,total,B1702,144,Low
Factors that limit or prevent the business's use of paid cloud computing services: problems accessing data or software,Retail trade,1,total,B1702,369,Low
Factors that limit or prevent the business's use of paid cloud computing services: problems accessing data or software,Accommodation & food services,1,total,B1702,159,Low
Factors that limit or prevent the business's use of paid cloud computing services: problems accessing data or software,"Transport, postal, & warehousing",1,total,B1702,96,Low
Factors that limit or prevent the business's use of paid cloud computing services: problems accessing data or software,Information media & telecommunications,1,total,B1702,36,Low
Factors that limit or prevent the business's use of paid cloud computing services: problems accessing data or software,Publishing,2,total,B1702,9,Low
Factors that limit or prevent the business's use of paid cloud computing services: problems accessing data or software,Motion picture,2,total,B1702,21,Low
Factors that limit or prevent the business's use of paid cloud computing services: problems accessing data or software,Telecommunications,2,total,B1702,3,Low
Factors that limit or prevent the business's use of paid cloud computing services: problems accessing data or software,Financial & insurance services,1,total,B1702,45,Low
Factors that limit or prevent the business's use of paid cloud computing services: problems accessing data or software,Finance,2,total,B1702,12,Low
Factors that limit or prevent the business's use of paid cloud computing services: problems accessing data or software,Insurance,2,total,B1702,0,Low
Factors that limit or prevent the business's use of paid cloud computing services: problems accessing data or software,Auxiliary,2,total,B1702,33,Low
Factors that limit or prevent the business's use of paid cloud computing services: problems accessing data or software,"Rental, hiring, & real estate services",1,total,B1702,36,Low
Factors that limit or prevent the business's use of paid cloud computing services: problems accessing data or software,"Professional, scientific, & technical services",1,total,B1702,306,Low
Factors that limit or prevent the business's use of paid cloud computing services: problems accessing data or software,Computer systems design,2,total,B1702,39,Low
Factors that limit or prevent the business's use of paid cloud computing services: problems accessing data or software,Other professional scientific,2,total,B1702,270,Low
Factors that limit or prevent the business's use of paid cloud computing services: problems accessing data or software,Administrative & support services,1,total,B1702,63,Low
Factors that limit or prevent the business's use of paid cloud computing services: problems accessing data or software,Education & training,1,total,B1702,63,Low
Factors that limit or prevent the business's use of paid cloud computing services: problems accessing data or software,Health care & social assistance,1,total,B1702,123,Low
Factors that limit or prevent the business's use of paid cloud computing services: problems accessing data or software,Arts & recreation services,1,total,B1702,33,Low
Factors that limit or prevent the business's use of paid cloud computing services: problems accessing data or software,Other services,1,total,B1702,75,Low
Factors that limit or prevent the business's use of paid cloud computing services: problems accessing data or software,total,0,total,B1702,2613,High
Factors that limit or prevent the business's use of paid cloud computing services: difficulties with unsubscribing or changing cloud computing service provider,total,0,6–19 employees,B1703,1527,High
Factors that limit or prevent the business's use of paid cloud computing services: difficulties with unsubscribing or changing cloud computing service provider,total,0,20–49 employees,B1703,348,Low
Factors that limit or prevent the business's use of paid cloud computing services: difficulties with unsubscribing or changing cloud computing service provider,total,0,50–99 employees,B1703,99,Low
Factors that limit or prevent the business's use of paid cloud computing services: difficulties with unsubscribing or changing cloud computing service provider,total,0,100+ employees,B1703,84,Low
Factors that limit or prevent the business's use of paid cloud computing services: difficulties with unsubscribing or changing cloud computing service provider,"Agriculture, forestry, & fishing",1,total,B1703,57,Low
Factors that limit or prevent the business's use of paid cloud computing services: difficulties with unsubscribing or changing cloud computing service provider,Agriculture,2,total,B1703,0,Low
Factors that limit or prevent the business's use of paid cloud computing services: difficulties with unsubscribing or changing cloud computing service provider,Commercial fishing,2,total,B1703,0,Low
Factors that limit or prevent the business's use of paid cloud computing services: difficulties with unsubscribing or changing cloud computing service provider,Forestry & logging,2,total,B1703,0,Low
Factors that limit or prevent the business's use of paid cloud computing services: difficulties with unsubscribing or changing cloud computing service provider,"Agriculture, forestry, & fishing support services",2,total,B1703,54,Low
Factors that limit or prevent the business's use of paid cloud computing services: difficulties with unsubscribing or changing cloud computing service provider,Mining,1,total,B1703,12,Low
Factors that limit or prevent the business's use of paid cloud computing services: difficulties with unsubscribing or changing cloud computing service provider,Manufacturing,1,total,B1703,258,Low
Factors that limit or prevent the business's use of paid cloud computing services: difficulties with unsubscribing or changing cloud computing service provider,"Food, beverage, & tobacco",2,total,B1703,54,Low
Factors that limit or prevent the business's use of paid cloud computing services: difficulties with unsubscribing or changing cloud computing service provider,"Textile, clothing, footwear, & leather",2,total,B1703,12,Low
Factors that limit or prevent the business's use of paid cloud computing services: difficulties with unsubscribing or changing cloud computing service provider,Wood & paper product,2,total,B1703,21,Low
Factors that limit or prevent the business's use of paid cloud computing services: difficulties with unsubscribing or changing cloud computing service provider,"Printing, publishing, & recorded media",2,total,B1703,18,Low
Factors that limit or prevent the business's use of paid cloud computing services: difficulties with unsubscribing or changing cloud computing service provider,"Petroleum, coal, chemical, & associated product",2,total,B1703,21,Low
Factors that limit or prevent the business's use of paid cloud computing services: difficulties with unsubscribing or changing cloud computing service provider,Non-metallic mineral product,2,total,B1703,3,Low
Factors that limit or prevent the business's use of paid cloud computing services: difficulties with unsubscribing or changing cloud computing service provider,Metal product,2,total,B1703,63,Low
Factors that limit or prevent the business's use of paid cloud computing services: difficulties with unsubscribing or changing cloud computing service provider,Transport and industrial machinery & equipment,2,total,B1703,36,Low
Factors that limit or prevent the business's use of paid cloud computing services: difficulties with unsubscribing or changing cloud computing service provider,Other machinery & equipment,2,total,B1703,15,Low
Factors that limit or prevent the business's use of paid cloud computing services: difficulties with unsubscribing or changing cloud computing service provider,Other manufacturing,2,total,B1703,18,Low
Factors that limit or prevent the business's use of paid cloud computing services: difficulties with unsubscribing or changing cloud computing service provider,"Electricity, gas, water, & waste services",1,total,B1703,6,Low
